inventor_id,name,country,patent_id
fl:se_ln:schmitt-3,Sebastian Schmitt,,12447883
fl:ku_ln:ulmer-2,Kurt Ulmer,,10347513
fl:ig_ln:skvirsky-1,Igor Skvirsky,,9498306
fl:da_ln:wilson-62,David Matthew Wilson,,7696193
fl:se_ln:chae-30,Seung Wan Chae,,7235820
fl:sr_ln:komarneni-1,Sridhar Komarneni,,5425934
fl:ro_ln:caruso-3,Robert Caruso,,9249594
fl:th_ln:loga-1,Thomas Henry Loga,,7063107
fl:jo_ln:priede-1,Jonas Calleja PRIEDE,,12077526
fl:pu_ln:shah-11,Pulkit Shah,,10651754
fl:ma_ln:imafuku-2,Masayuki Imafuku,,6293982
fl:da_ln:basulto-1,David Basulto,,9772543
fl:mi_ln:huang-125,Ming-Zheng Huang,,12451819
fl:xi_ln:wu-313,Xin Wu,,11107706
fl:so_ln:carlson-1,Sonia P. Carlson,,10606665
fl:ro_ln:waggener-1,Robert G. Waggener,,5293312
fl:ka_ln:sawada-27,Kazuhide Sawada,,5189143
fl:ju_ln:sauer-5,Jude S. Sauer,,D1024326
fl:ro_ln:brill-2,Robert Brill,,D294936
fl:ka_ln:fink-4,Kaitlin Elizabeth FINK,,12199252
fl:po_ln:lin-79,Po-Kang Lin,,5964728
fl:ke_ln:jeffcoat-2,Keith Jeffcoat,,5626037
fl:ch_ln:ulrich-1,Christoph Ulrich,,9598889
fl:ke_ln:kim-115,Kevin Weejoung Kim,,8753225
fl:eu_ln:kim-77,Eun Kyung Kim,,10604410
fl:ma_ln:sperling-4,Matthew Niven Sperling,,D718675
000ua1xlntucefomeaptsceea,"William Mark Flintoff, Jr.",,D691023
fl:da_ln:weitz-1,David A. Weitz,,9664619
fl:be_ln:pelletier-5,Benoit Pelletier,,8929301
fl:jo_ln:lee-390,Jong S. Lee,,5503968
fl:sh_ln:nakamura-89,Shigeru Nakamura,,8022451
fl:jo_ln:daniel-22,John Daniel,,7029440
fl:ke_ln:ito-37,Kenji Ito,,4518683
fl:st_ln:sigurjonsson-3,Styrmir Sigurjonsson,,12492429
fl:gi_ln:yuval-1,Gideon A. Yuval,,7770023
fl:ja_ln:lee-305,James S. W. Lee,,D371396
fl:da_ln:johnston-32,David F. Johnston,,7634403
fl:ro_ln:macneill-1,Robert MacNeill,,11662335
fl:al_ln:watfa-1,Allie K. Watfa,,9582815
fl:yi_ln:zheng-23,Ying Zheng,,12417061
fl:ch_ln:wu-293,Chia-Chin Wu,,8514560
fl:ma_ln:stocker-3,Mark Andrew Stocker,,6739954
fl:an_ln:mansencal-1,Antoine Mansencal,,10668217
fl:yo_ln:kobayashi-77,Youhei Kobayashi,,10983635
fl:fr_ln:duhay-1,Francis G. Duhay,,12274617
fl:hu_ln:thompson-4,Hugh A. Thompson,,3956923
fl:ji_ln:lee-73,Ji Hyun Lee,,7696967
fl:fl_ln:cosandier-1,Florent Cosandier,,11435697
fl:ra_ln:wynn-2,"Ray Wynn, Jr.",,4247314
fl:ma_ln:tell-2,Mayo B. Tell,,4408395
fl:ki_ln:kovi-1,Kiran Kumar Kovi,,12031987
fl:hi_ln:iimura-1,Hiroshi Iimura,,11107094
fl:ga_ln:rayburn-1,Gary L. Rayburn,,9072296
fl:ma_ln:kupryushkin-1,Maxim Kupryushkin,,10870674
fl:jo_ln:mola-2,Jordi Mola,,10541042
fl:ni_ln:stebbins-2,Nicholas David Stebbins,,12208154
fl:we_ln:ji-29,Wei Ji,,10176553
fl:he_ln:candello-1,Heloisa Caroline De Souza Pereira Candello,,10572501
fl:ro_ln:chaput-3,Robert Chaput,,D537961
fl:jo_ln:kim-196,Jong Ho Kim,,7913340
fl:to_ln:edwards-1,Todd S. Edwards,,11505685
fl:jo_ln:baldridge-2,John W. Baldridge,,8894861
fl:ji_ln:wu-468,Jianlong Wu,,D1103448
fl:ju_ln:barthelme-3,Juergen Barthelme,,12092181
fl:to_ln:woolf-1,Tod M. Woolf,,8229871
fl:sh_ln:vandermerwe-1,Shawn Van Der Merwe,,10144876
fl:ji_ln:gu-59,Ji-An Gu,,11524924
fl:al_ln:knoch-2,Alexander Knoch,,8393893
fl:jo_ln:kang-44,Jong Hyuk KANG,,10803790
fl:pe_ln:silbernagel-1,Peter Silbernagel,,4655028
fl:ri_ln:beaver-4,Richard James Beaver,,10940380
fl:da_ln:mies-1,David Mies,,7737338
fl:yo_ln:ling-1,Youguo LING,,12005080
fl:ku_ln:chen-263,Kuei-Yuan Chen,,9903531
fl:ma_ln:yamada-53,Masataka Yamada,,8955041
fl:hi_ln:uemura-17,Hiroshi Uemura,,8480197
fl:ch_ln:cheng-471,Chi Wah Cheng,,8538576
fl:os_ln:sengoku-1,Osamu Sengoku,,7746337
fl:ma_ln:kern-24,Manfred Kern,,6699853
fl:ho_ln:zhang-135,Hongrong Zhang,,12226818
fl:di_ln:haerle-1,Dieter Haerle,,RE47715
fl:hy_ln:kwon-188,Hyuk Joon Kwon,,11277284
fl:ak_ln:yokawa-1,Akira Yokawa,,7495897
